GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
3303,HSPA1A,6,31747952,31795719,123,32,142488,3.8909,4.9932e-05
6386,SDCBP,8,59430566,59505419,205,15,142488,3.8866,5.0824e-05
90355,C5orf30,5,102559442,102624361,145,15,142488,3.8726,5.3847e-05
1589,CYP21A2,6,31971093,32019447,144,36,142488,3.8518,5.8622e-05
65065,NBEAL1,2,203844597,204101101,438,26,142488,3.8453,6.0195e-05
171568,POLR3H,22,41911803,41975479,139,12,142488,3.8448,6.0331e-05
7804,LRP8,1,53698036,53828821,392,45,142488,3.8256,6.524e-05
1581,CYP7A1,8,59392737,59447720,158,20,142488,3.8178,6.731e-05
3105,HLA-A,6,29875247,29923661,2002,32,142488,3.8118,6.897e-05
10766,TOB2,22,41819492,41879234,119,9,142488,3.8102,6.9421e-05
8631,SKAP1,17,46200802,46542596,865,29,142488,3.807,7.0342e-05
285126,DNAJC5G,2,27463289,27515214,107,15,142488,3.7982,7.2877e-05
161514,TBC1D21,15,74130922,74191555,202,27,142488,3.7939,7.4162e-05
84844,PHF5A,22,41845721,41899708,94,18,142488,3.7858,7.6614e-05
57497,LRFN2,6,40349373,40590126,1002,60,142488,3.7823,7.77e-05
4358,MPV17,2,27522360,27580969,70,16,142488,3.7819,7.7806e-05
27254,CSDC2,22,41922014,41982670,136,12,142488,3.7703,8.1514e-05
114825,PWWP2A,5,159492889,159581452,220,29,142488,3.7672,8.2529e-05
7476,WNT7A,3,13850082,13956618,347,47,142488,3.7596,8.5091e-05
721,C4B,6,31947572,32013195,134,34,142488,3.7588,8.5356e-05
57616,TSHZ3,19,31755851,31875190,317,45,142488,3.7519,8.7751e-05
790,CAD,2,27405258,27476660,208,18,142488,3.7506,8.8211e-05
55744,COA1,7,43638052,43804140,500,20,142488,3.7457,8.996e-05
9098,USP6,17,4996687,5088327,239,28,142488,3.7146,0.00010178
84879,MFSD2A,1,40385784,40445630,156,29,142488,3.7144,0.00010186
4869,NPM1,5,170779652,170847888,231,20,142488,3.7106,0.0001034
221527,ZBTB12,6,31857394,31904769,146,31,142488,3.7099,0.00010368
84622,ZNF594,17,5072830,5130178,147,19,142488,3.7076,0.00010461
29909,GPR171,3,150905537,150955997,167,28,142488,3.7049,0.00010573
54802,TRIT1,1,40296703,40384177,267,23,142488,3.7042,0.00010602
155435,RBM33,7,155402188,155584179,536,16,142488,3.7017,0.00010709
353500,BMP8A,1,39922318,40005541,243,34,142488,3.699,0.00010823
8859,STK19,6,31903952,31959223,145,27,142488,3.6985,0.00010844
80740,LY6G6C,6,31676425,31724511,115,26,142488,3.693,0.0001108
51374,ATRAID,2,27399899,27450046,140,14,142488,3.6896,0.00011229
4211,MEIS1,2,66627257,66809891,438,56,142488,3.6826,0.00011544
8817,FGF18,5,170811667,170894630,237,30,142488,3.6754,0.00011873
9263,STK17A,7,43587692,43676978,265,16,142488,3.6742,0.00011929
7148,TNXB,6,31998932,32112151,317,42,142488,3.6618,0.00012524
101929519,LOC101929519,9,96423303,96470032,220,26,142488,3.6599,0.00012617
3215,HOXB5,17,46658619,46706103,145,27,142488,3.6561,0.00012804
79800,CARF,2,203741978,203861060,264,14,142488,3.6507,0.00013075
388325,SCIMP,17,5102215,5173997,268,24,142488,3.6367,0.00013805
534,ATP6V1G2,6,31502228,31549625,256,32,142488,3.635,0.00013898
3216,HOXB6,17,46663099,46717343,175,30,142488,3.6342,0.00013943
696,BTN1A1,6,26465577,26520653,182,22,142488,3.6214,0.0001465
286046,XKR6,8,10743654,11093875,1348,38,142488,3.612,0.00015193
7919,DDX39B,6,31487996,31545252,345,35,142488,3.6115,0.00015219
3213,HOXB3,17,46616232,46702634,230,36,142488,3.6091,0.00015365
4795,NFKBIL1,6,31479628,31536606,383,34,142488,3.5938,0.00016295
57819,LSM2,6,31755169,31809761,160,37,142488,3.5854,0.00016827
2033,EP300,22,41453614,41586081,256,22,142488,3.5748,0.00017525
10956,OS9,12,58052738,58125340,188,13,142488,3.5584,0.00018653
23499,MACF1,1,39514839,39962810,1030,40,142488,3.5526,0.00019074
3304,HSPA1B,6,31754964,31808032,156,36,142488,3.5487,0.00019356
10899,JTB,1,153936745,153986096,74,17,142488,3.5485,0.00019373
3119,HLA-DQB1,6,32617241,32669466,2873,26,142488,3.5473,0.00019462
57142,RTN4,2,55189325,55342770,536,35,142488,3.5466,0.00019511
3123,HLA-DRB1,6,32536546,32592613,3390,24,142488,3.524,0.00021252
3122,HLA-DRA,6,32372619,32422823,753,29,142488,3.5113,0.00022294
6232,RPS27,1,153928239,153974631,70,18,142488,3.5037,0.00022939
56675,NRIP3,11,8992123,9060596,186,21,142488,3.5035,0.00022958
79170,PRR15L,17,46019333,46070252,155,22,142488,3.5026,0.00023035
7775,ZNF232,17,4999029,5061411,178,24,142488,3.4832,0.00024774
92255,LMBRD2,5,36093414,36187015,199,30,142488,3.4828,0.00024807
644,BLVRA,7,43763272,43856941,221,20,142488,3.4777,0.00025282
6502,SKP2,5,36117091,36194143,183,30,142488,3.475,0.00025544
157922,CAMSAP1,9,138690333,138834060,325,32,142488,3.4697,0.0002605
2583,B4GALNT1,12,58009678,58062022,146,10,142488,3.4667,0.00026343
9873,FCHSD2,11,72537788,72888727,414,49,142488,3.4562,0.00027391
6499,SKIV2L,6,31891581,31947532,185,30,142488,3.4544,0.00027576
55759,WDR12,2,203735323,203811949,180,14,142488,3.4489,0.00028141
130026,ICA1L,2,203627873,203771708,337,18,142488,3.4399,0.00029095
3127,HLA-DRB5,6,32475151,32533006,3124,28,142488,3.4382,0.00029285
5437,POLR2H,3,184044502,184096383,138,30,142488,3.4376,0.0002934
80279,CDK5RAP3,17,46012894,46069152,168,23,142488,3.4283,0.00030372
57827,C6orf47,6,31616075,31663549,130,24,142488,3.4226,0.0003101
643314,KIAA0754,1,39840176,39892154,109,18,142488,3.4097,0.00032513
23191,CYFIP1,15,22857667,23013603,645,90,142488,3.4086,0.00032652
9135,RABEP1,17,5150558,5299132,578,29,142488,3.4083,0.00032679
8973,CHRNA6,8,42597763,42658929,145,16,142488,3.4035,0.00033266
5872,RAB13,1,153944093,153993853,76,17,142488,3.4025,0.00033386
3217,HOXB7,17,46674594,46723383,157,27,142488,3.4002,0.00033671
5708,PSMD2,3,183981886,184036842,115,21,142488,3.3912,0.00034791
27173,SLC39A1,1,153921575,153975660,77,17,142488,3.3907,0.00034862
54468,MIOS,7,7571522,7657112,303,21,142488,3.3902,0.00034925
389792,IER5L,9,131927831,131975540,93,18,142488,3.3881,0.00035188
8884,SLC5A6,2,27412455,27470175,171,16,142488,3.3843,0.00035675
10274,STAG1,3,136045077,136506245,868,32,142488,3.3771,0.00036632
10718,NRG3,10,83600070,84756935,3621,185,142488,3.3764,0.00036719
5096,PCCB,3,135934167,136066737,265,24,142488,3.3732,0.00037148
79033,ERI3,1,44676742,44856315,379,30,142488,3.36,0.00038967
56244,BTNL2,6,32352513,32409900,789,31,142488,3.3498,0.00040428
3218,HOXB8,17,46679708,46727474,168,27,142488,3.3414,0.00041681
5523,PPP2R3A,3,135649515,135876752,431,25,142488,3.3357,0.0004254
101927989,LOC101927989,18,74164915,74215874,157,34,142488,3.3349,0.0004266
56674,TMEM9B,11,8958840,9021553,182,16,142488,3.3175,0.00045416
389376,SFTA2,6,30889127,30934952,192,28,142488,3.3158,0.00045685
4049,LTA,6,31504876,31552101,248,41,142488,3.3151,0.00045806
400658,C18orf65,18,74172477,74220045,151,35,142488,3.3098,0.00046682
63940,GPSM3,6,32148543,32198300,274,35,142488,3.3076,0.00047043
629,CFB,6,31878721,31929861,153,25,142488,3.3075,0.00047071
57404,CYP20A1,2,204068164,204180563,220,21,142488,3.2996,0.00048415
55656,INTS8,8,95800518,95902721,312,21,142488,3.2987,0.00048572
55100,WDR70,5,37344391,37762774,1175,33,142488,3.2797,0.0005196
55214,P3H2,3,189664517,189875226,974,52,142488,3.2751,0.00052809
4016,LOXL1,15,74183789,74254478,259,33,142488,3.272,0.00053391
3214,HOXB4,17,46642869,46690743,125,23,142488,3.2695,0.00053876
2678,GGT1,22,24944629,25034972,277,33,142488,3.2685,0.00054063
389763,SPATA31D1,9,84568687,84620171,73,15,142488,3.2675,0.00054246
1289,COL5A1,9,137498651,137746689,1244,109,142488,3.2659,0.00054551
388886,LRRC75B,22,24971588,25024073,165,22,142488,3.2655,0.00054634
1181,CLCN2,3,184053973,184114439,166,37,142488,3.2648,0.00054778
50854,C6orf48,6,31767693,31817541,152,35,142488,3.2613,0.00055448
11118,BTN3A2,6,26330387,26388548,306,22,142488,3.2594,0.00055827
252884,ZNF396,18,32936661,32992301,132,20,142488,3.2584,0.00056027
1376,CPT2,1,53627101,53689869,195,36,142488,3.2558,0.00056532
91181,NUP210L,1,153955166,154162592,326,21,142488,3.254,0.00056896
131408,FAM131A,3,184018717,184074063,117,25,142488,3.2534,0.00057012
400224,PLEKHD1,14,69916471,70005215,227,35,142488,3.2384,0.00060103
11052,CPSF6,12,69598317,69678138,212,30,142488,3.221,0.00063865
65056,GPBP1,5,56434676,56570506,291,27,142488,3.2196,0.00064194
200186,CRTC2,1,153910148,153966132,80,15,142488,3.2179,0.00064561
2119,ETV5,3,185754106,185861901,249,32,142488,3.2174,0.0006469
8897,MTMR3,22,30244149,30436857,477,29,142488,3.2113,0.00066062
55197,RPRD1A,18,33559787,33682538,294,23,142488,3.2096,0.00066458
8761,PABPC4,1,40016485,40077522,174,22,142488,3.1997,0.00068797
3219,HOXB9,17,46688518,46738835,175,27,142488,3.199,0.00068957
8065,CUL5,11,107844408,107988495,337,24,142488,3.1977,0.00069257
7940,LST1,6,31518956,31566686,239,43,142488,3.1974,0.00069328
80312,TET1,10,70285117,70464239,595,26,142488,3.191,0.00070885
100507679,MUC22,6,30938729,31013179,867,38,142488,3.1892,0.00071341
2041,EPHA1,7,143078205,143140985,193,37,142488,3.1801,0.00073624
55209,SETD5,3,9404384,9529838,293,29,142488,3.169,0.00076491
53833,IL20RB,3,136641707,136739927,223,18,142488,3.1625,0.00078219
221710,SMIM13,6,11059266,11148971,344,33,142488,3.162,0.00078349
7702,ZNF143,11,9447512,9560071,267,19,142488,3.1514,0.00081255
84164,ASCC2,22,30174597,30269293,256,22,142488,3.1493,0.00081842
55167,MSL2,3,135857760,135950522,134,21,142488,3.1464,0.00082648
56848,SPHK2,19,49087548,49143974,180,32,142488,3.1362,0.00085573
57176,VARS2,6,30846982,30904236,265,16,142488,3.1346,0.00086055
10342,TFG,3,100393128,100477811,199,18,142488,3.1331,0.00086483
389761,SPATA31D4,9,84508343,84559913,58,13,142488,3.1221,0.00089791
9934,P2RY14,3,150919905,151031996,353,27,142488,3.1199,0.0009047
4855,NOTCH4,6,32152620,32226844,566,47,142488,3.1192,0.00090661
2319,FLOT2,17,27196356,27259715,85,20,142488,3.1173,0.00091265
8870,IER3,6,30700976,30747327,268,27,142488,3.112,0.00092898
54854,FAM83E,19,49093857,49153098,159,24,142488,3.1093,0.00093766
55244,SLC47A1,17,19402167,19492346,214,38,142488,3.1069,0.00094539
84366,PRAC1,17,46789081,46834882,116,28,142488,3.1064,0.00094691
3305,HSPA1L,6,31767396,31825093,195,41,142488,3.104,0.00095456
8807,IL18RAP,2,103000254,103079025,315,16,142488,3.0998,0.00096817
10152,ABI2,2,204157597,204306892,259,26,142488,3.0984,0.00097279
7325,UBE2E2,3,23209498,23642296,1612,28,142488,3.095,0.00098404
10385,BTN2A2,6,26348111,26405102,320,20,142488,3.0945,0.00098565
55788,LMBRD1,6,70375641,70542049,627,24,142488,3.0937,0.00098854
4856,NOV,8,120393552,120446678,190,11,142488,3.0924,0.00099258
1981,EIF4G1,3,183997283,184063146,122,22,142488,3.0921,0.00099387
7918,GPANK1,6,31619006,31669060,136,24,142488,3.0919,0.00099438
79671,NLRX1,11,119004036,119064725,109,14,142488,3.0899,0.0010011
338645,LUZP2,11,24483516,25114186,3085,111,142488,3.0791,0.0010381
3761,KCNJ4,22,38812332,38886205,208,43,142488,3.0782,0.0010412
66036,MTMR9,8,11107000,11195655,318,20,142488,3.0759,0.0010494
150356,CHADL,22,41595861,41671935,231,19,142488,3.0718,0.0010639
5711,PSMD5,9,123568331,123640299,118,13,142488,3.0703,0.0010691
135656,DPCR1,6,30873777,30931998,241,24,142488,3.069,0.0010739
148327,CREB3L4,1,153905315,153956840,70,11,142488,3.0675,0.0010794
4295,MLN,6,33752449,33806793,306,28,142488,3.0576,0.0011155
3118,HLA-DQA2,6,32674156,32724664,1595,26,142488,3.0551,0.0011248
100505877,UBE2E2-AS1,3,23226561,23281268,184,24,142488,3.0551,0.0011249
150280,HORMAD2,22,30441453,30583064,311,23,142488,3.0544,0.0011277
4809,NHP2L1,22,42059937,42120296,185,18,142488,3.052,0.0011368
8439,NSMAF,8,59486063,59607404,325,38,142488,3.0493,0.001147
5360,PLTP,20,44517259,44576003,152,28,142488,3.0488,0.001149
389762,SPATA31D3,9,84523415,84575009,45,12,142488,3.0486,0.0011494
9601,PDIA4,7,148690154,148760782,255,26,142488,3.0458,0.0011601
2110,ETFDH,4,159558277,159639842,89,20,142488,3.0436,0.0011688
1508,CTSB,8,11690033,11760646,362,30,142488,3.0391,0.0011866
8646,CHRD,3,184062861,184117617,162,38,142488,3.0336,0.0012085
65059,RAPH1,2,204288538,204435058,231,24,142488,3.0303,0.0012217
64078,SLC28A3,9,86880765,87018413,621,52,142488,3.0301,0.0012223
4762,NEUROG1,5,134859972,134906639,98,23,142488,3.0281,0.0012305
3084,NRG1,8,31461820,32632558,4099,150,142488,3.0259,0.0012396
56243,KIAA1217,10,23948675,24846772,2873,152,142488,3.0225,0.0012535
53829,P2RY13,3,151034096,151082337,165,20,142488,3.0162,0.0012796
10211,FLOT1,6,30685506,30745687,332,32,142488,3.0104,0.0013045
79613,TANGO6,16,68842456,69129085,673,38,142488,3.0099,0.0013066
83608,C18orf21,18,33517588,33569250,121,11,142488,3.0088,0.0013116
64077,LHPP,10,126115341,126312710,1083,70,142488,3.0073,0.0013177
64137,ABCG4,11,118984750,119043375,131,12,142488,3.0071,0.0013188
56676,ASCL3,11,8949119,8999580,161,14,142488,3.0067,0.0013204
3212,HOXB2,17,46610017,46657393,115,21,142488,3.0054,0.001326
79640,C22orf46,22,42051547,42104140,153,15,142488,3.0006,0.0013471
9718,ECE2,3,183932445,184020819,214,27,142488,2.9963,0.0013665
29113,C6orf15,6,31069000,31115332,610,33,142488,2.9942,0.0013759
7124,TNF,6,31508344,31556113,232,40,142488,2.9873,0.0014072
94032,CAMK2N2,3,183967003,184014251,101,17,142488,2.9849,0.0014182
26190,FBXW2,9,123509254,123590740,124,15,142488,2.9849,0.0014183
2923,PDIA3,15,44003326,44074804,131,16,142488,2.9834,0.0014252
3211,HOXB1,17,46596807,46643272,113,17,142488,2.9811,0.0014363
150365,MEI1,22,42060518,42205459,460,21,142488,2.9806,0.0014385
63935,PCIF1,20,44528313,44586732,157,27,142488,2.9804,0.0014394
405754,ERVFRD-1,6,11092722,11147071,233,23,142488,2.979,0.001446
6492,SIM1,6,100822891,100947805,346,40,142488,2.9767,0.001457
6657,SOX2,3,181394712,181442224,57,11,142488,2.9756,0.001462
127687,C1orf122,1,38238473,38285126,114,18,142488,2.9751,0.0014642
101060400,LOC101060400,17,46702166,46759875,192,28,142488,2.9745,0.0014675
338398,TAS2R60,7,143105546,143151502,136,25,142488,2.974,0.0014695
137886,UBXN2B,8,59288823,59374060,307,33,142488,2.9739,0.00147
83875,BCO2,11,112011208,112099652,239,28,142488,2.969,0.001494
101928552,LOC101928552,9,138692858,138741145,74,13,142488,2.9684,0.0014969
9258,MFHAS1,8,8630864,8786131,810,43,142488,2.9666,0.0015058
6764,ST5,11,8704899,8967498,814,36,142488,2.9662,0.0015078
124739,USP43,17,9513015,9643004,326,35,142488,2.962,0.0015283
5089,PBX2,6,32142510,32192963,216,36,142488,2.9574,0.001551
8809,IL18R1,2,102944093,103025230,326,17,142488,2.9564,0.001556
3609,ILF3,19,10729937,10813095,178,18,142488,2.9536,0.0015704
3024,HIST1H1A,6,26007260,26053040,134,21,142488,2.9522,0.0015776
8352,HIST1H3C,6,26010639,26056097,132,20,142488,2.9516,0.0015806
150094,SIK1,21,44824395,44882002,268,28,142488,2.9505,0.0015863
9909,DENND4B,1,153891977,153954162,92,11,142488,2.946,0.0016096
149175,MANEAL,1,38224721,38277278,155,21,142488,2.9459,0.0016101
84620,ST6GAL2,2,107408056,107538563,447,33,142488,2.9453,0.001613
11216,AKAP10,17,19797765,19916169,235,18,142488,2.9431,0.0016245
2646,GCKR,2,27684470,27756556,141,16,142488,2.9429,0.001626
64838,FNDC4,2,27704750,27753126,98,13,142488,2.9419,0.001631
1008,CDH10,5,24477209,24680085,796,43,142488,2.9406,0.001638
10786,SLC17A3,6,25835328,25909471,251,33,142488,2.939,0.0016463
80212,CCDC92,12,124410955,124492373,181,13,142488,2.938,0.0016517
56673,C11orf16,11,8931623,8989553,208,16,142488,2.9375,0.0016542
123722,FSD2,15,83416827,83509850,260,25,142488,2.9374,0.0016547
55954,ZMAT5,22,30116945,30198000,261,19,142488,2.9362,0.0016612
6133,RPL9,4,39445744,39495568,234,26,142488,2.9347,0.0016694
25807,RHBDD3,22,29645844,29699147,112,28,142488,2.9345,0.0016702
3606,IL18,11,112003974,112069840,178,23,142488,2.9247,0.0017239
4208,MEF2C,5,88004058,88234922,455,38,142488,2.9243,0.001726
79837,PIP4K2C,12,57949942,58007211,101,22,142488,2.9222,0.001738
2976,GTF3C2,2,27538716,27615243,107,16,142488,2.9211,0.0017442
80255,SLC35F5,2,114461354,114549400,334,23,142488,2.9185,0.0017584
114792,KLHL32,6,97337496,97598630,907,57,142488,2.9183,0.0017597
83741,TFAP2D,6,50646257,50750746,186,21,142488,2.9169,0.0017677
8366,HIST1H4B,6,26017124,26062480,134,20,142488,2.9151,0.0017779
497189,TIFAB,5,134774558,134823089,178,24,142488,2.9115,0.0017987
84268,RPAIN,17,5287961,5346340,283,11,142488,2.9109,0.0018017
4927,NUP88,17,5279346,5358400,352,16,142488,2.9104,0.0018047
5452,POU2F2,19,42580262,42671625,94,11,142488,2.9082,0.0018174
3018,HIST1H2BB,6,26033455,26078885,144,20,142488,2.9059,0.0018307
80174,DBF4B,17,42750976,42839637,160,26,142488,2.9043,0.0018403
133,ADM,11,10291642,10338923,131,12,142488,2.9038,0.0018435
340267,COL28A1,7,7388244,7610460,789,33,142488,2.9014,0.0018573
79849,PDZD3,11,119021127,119070932,71,15,142488,2.901,0.0018597
119016,AGAP4,10,46311040,46393501,23,11,142488,2.8978,0.0018787
23266,ADGRL2,1,82231082,82468107,759,48,142488,2.8968,0.0018848
55971,BAIAP2L1,7,97910962,98065427,388,18,142488,2.8946,0.0018983
144348,ZNF664,12,124422699,124509986,193,17,142488,2.8943,0.0019
154743,C7orf60,7,112449202,112614932,312,28,142488,2.883,0.0019695
8335,HIST1H2AB,6,26023320,26068796,125,19,142488,2.8804,0.0019858
201725,C4orf46,4,159577827,159628407,48,15,142488,2.8803,0.0019866
26160,IFT172,2,27657240,27747575,151,14,142488,2.8801,0.0019876
3077,HFE,6,26052422,26106438,178,24,142488,2.8786,0.001997
817,CAMK2D,4,114362188,114718669,1010,68,142488,2.8773,0.0020054
2853,GPR31,6,167560360,167606319,172,32,142488,2.8773,0.0020055
2968,GTF2H4,6,30840957,30891883,222,20,142488,2.8746,0.0020226
113277,TMEM106A,17,41328865,41382061,109,6,142488,2.8745,0.0020234
64418,TMEM168,7,112395364,112465768,127,14,142488,2.8689,0.0020595
8358,HIST1H3B,6,26021817,26067288,128,20,142488,2.8683,0.0020636
672,BRCA1,17,41186312,41312500,305,8,142488,2.866,0.0020782
10842,PPP1R17,7,31691631,31758069,181,28,142488,2.8653,0.002083
170679,PSORS1C1,6,31047608,31117869,854,32,142488,2.8644,0.0020888
388336,SHISA6,17,11109740,11477380,1311,116,142488,2.8634,0.0020953
7013,TERF1,8,73886097,73969987,219,21,142488,2.8623,0.0021027
55240,STEAP3,2,119946384,120033228,346,34,142488,2.8608,0.0021128
124808,CCDC43,17,42744805,42802355,101,21,142488,2.8598,0.0021192
10634,GAS2L1,22,29667985,29718778,93,21,142488,2.8594,0.0021222
5937,RBMS1,2,161118662,161385366,766,41,142488,2.8588,0.0021262
3428,IFI16,1,158944682,159034945,400,25,142488,2.8581,0.0021309
640,BLK,8,11316521,11432108,509,30,142488,2.8568,0.0021394
55764,IFT122,3,129123671,129249350,403,18,142488,2.8565,0.0021419
8329,HIST1H2AI,6,27740977,27786445,109,19,142488,2.8556,0.0021476
55291,PPP6R3,11,68193186,68392802,538,24,142488,2.8555,0.0021485
123720,WHAMM,15,83441959,83513613,209,30,142488,2.8539,0.002159
6302,TSPAN31,12,58103784,58152026,68,15,142488,2.8538,0.0021597
5283,PIGH,14,68038225,68102017,195,30,142488,2.8527,0.0021675
6010,RHO,3,129212482,129264187,132,15,142488,2.8526,0.0021683
195814,SDR16C5,8,57202570,57268335,170,22,142488,2.8515,0.0021757
3006,HIST1H1C,6,26045968,26091699,154,19,142488,2.8509,0.0021795
10827,FAM114A2,5,153359723,153453497,257,12,142488,2.849,0.0021927
5004,ORM1,9,117050303,117098759,182,41,142488,2.8476,0.0022022
93323,HAUS8,19,17150571,17221428,252,18,142488,2.8473,0.0022044
9350,CER1,9,14709731,14757715,226,33,142488,2.846,0.0022136
8363,HIST1H4J,6,27756903,27802258,108,20,142488,2.8447,0.0022229
55929,DMAP1,1,44644104,44696351,96,17,142488,2.8433,0.0022325
140947,DCANP1,5,134769904,134818038,176,24,142488,2.8422,0.0022404
9715,FAM131B,7,143040493,143114397,208,53,142488,2.8421,0.002241
8357,HIST1H3H,6,27742842,27788314,104,19,142488,2.8396,0.0022588
10475,TRIM38,6,25927917,25997557,231,24,142488,2.8389,0.0022634
57459,GATAD2B,1,153767201,153930451,299,17,142488,2.8385,0.0022661
56253,CRTAM,11,122674255,122753347,321,39,142488,2.8384,0.0022672
29959,NRBP1,2,27616473,27675126,93,9,142488,2.8335,0.0023023
101929163,LOC101929163,6,32336234,32383967,652,25,142488,2.831,0.0023204
79879,CCDC134,22,42161636,42238175,225,26,142488,2.8308,0.0023216
85236,HIST1H2BK,6,27096072,27149637,97,23,142488,2.8298,0.0023287
145581,LRFN5,14,42041764,42383752,1205,46,142488,2.828,0.0023422
56853,CELF4,18,34813003,35181000,1021,103,142488,2.8252,0.0023626
130557,ZNF513,2,27590098,27638733,79,10,142488,2.8238,0.0023732
5496,PPM1G,2,27594066,27667550,121,10,142488,2.8221,0.0023856
2590,GALNT2,1,230167956,230427875,1066,80,142488,2.821,0.0023934
2675,GFRA2,8,21539530,21707392,488,79,142488,2.8209,0.0023943
542767,C1QTNF9B-AS1,13,24428028,24476242,180,14,142488,2.8205,0.0023973
22878,TRAPPC8,18,29399136,29558175,494,36,142488,2.8201,0.0024005
123207,C15orf40,15,83647715,83716050,165,27,142488,2.82,0.002401
26039,SS18L1,20,60683816,60767566,359,23,142488,2.8198,0.002403
10481,HOXB13,17,46792125,46841111,126,30,142488,2.8172,0.0024219
8364,HIST1H4C,6,26069176,26114565,174,24,142488,2.8166,0.0024269
283358,B4GALNT3,12,534543,681503,688,98,142488,2.8165,0.0024272
7726,TRIM26,6,30142232,30216271,352,21,142488,2.8085,0.002489
